Time (sec),Position[2],Position[3],,,,,
1744147813.1723,6.30626881124731E-14,-7.90331792604886E-14,,,,,
1744147813.18277,6.57713588567706E-14,-7.54719812660075E-14,,,,,
1744147813.19346,6.8796605739202E-14,-7.22674480560386E-14,,,,,
1744147813.20395,7.21831695008273E-14,-6.93820771316456E-14,,,,,
1744147813.21495,7.59838788140726E-14,-6.67816914587958E-14,,,,,
1744147813.22516,8.02610994273542E-14,-6.44358321257294E-14,,,,,
1744147813.23611,8.50881336532425E-14,-6.23176956218633E-14,,,,,
1744147813.2467,9.05499953019654E-14,-6.04038029392887E-14,,,,,
1744147813.25712,9.6742754172774E-14,-5.86735797967944E-14,,,,,
1744147813.26819,1.03769992555983E-13,-5.71090782438547E-14,,,,,
1744147813.27889,1.11731179604124E-13,-5.56945273130382E-14,,,,,
1744147813.28953,1.20694570180765E-13,-5.44159621008925E-14,,,,,
1744147813.29976,1.30635888240323E-13,-5.3260978629833E-14,,,,,
1744147813.31046,1.41307868141674E-13,-5.22183601914165E-14,,,,,
1744147813.32122,1.51974922837816E-13,-5.12779959092057E-14,,,,,
1744147813.33182,1.60918257625831E-13,-5.04310245581873E-14,,,,,
1744147813.34251,1.64678221970913E-13,-4.96707462297213E-14,,,,,
1744147813.35285,1.57473482778514E-13,-4.89949646554669E-14,,,,,
1744147813.36371,1.3249460855774E-13,-4.84091574687449E-14,,,,,
1744147813.37441,8.71868714288793E-14,-4.79256115397529E-14,,,,,
1744147813.3851,2.91342219628833E-14,-4.75532858478825E-14,,,,,
1744147813.39507,-2.70027352075621E-14,-4.72863318813547E-14,,,,,
1744147813.40615,-6.99372627770516E-14,-4.71075012710953E-14,,,,,
1744147813.41698,-9.67874630086417E-14,-4.70002125272339E-14,,,,,
1744147813.42759,-1.10343385669074E-13,-4.69550182915104E-14,,,,,
1744147813.43837,-1.1493092912183E-13,-4.6968871291746E-14,,,,,
1744147813.44897,-1.14224823808721E-13,-4.70422806692811E-14,,,,,
1744147813.4601,-1.1073157298123E-13,-4.71773016784114E-14,,,,,
1744147813.47148,-1.05972317708365E-13,-4.73764697259172E-14,,,,,
1744147813.48188,-1.00802417501644E-13,-4.76424440073619E-14,,,,,
1744147813.49411,-9.56727973571946E-14,-4.7978069360826E-14,,,,,
1744147813.50476,-9.0803937267787E-14,-4.83863614946521E-14,,,,,
1744147813.51612,-8.62898544753295E-14,-4.88707039327702E-14,,,,,
1744147813.52614,-8.2157940914029E-14,-4.94348818418047E-14,,,,,
1744147813.53702,-7.84019709865909E-14,-5.00832206463228E-14,,,,,
1744147813.5476,-7.4999900586024E-14,-5.0820728194844E-14,,,,,
1744147813.558,-7.19234333366691E-14,-5.16531174738758E-14,,,,,
1744147813.56868,-6.91429992505748E-14,-5.2587007375051E-14,,,,,
1744147813.57848,-6.66300396835764E-14,-5.36300006763686E-14,,,,,
1744147813.59003,-6.43582624077304E-14,-5.47907911884741E-14,,,,,
1744147813.60189,-6.2303922202837E-14,-5.6079391870796E-14,,,,,
1744147813.61185,-6.04459275961439E-14,-5.75073132912239E-14,,,,,
1744147813.6231,-5.87656945492631E-14,-5.90877309998183E-14,,,,,
1744147813.63384,-5.72468736729042E-14,-6.08357475533713E-14,,,,,
1744147813.64436,-5.58752235378508E-14,-6.2768616511575E-14,,,,,
1744147813.65501,-5.46382765780607E-14,-6.49059942429759E-14,,,,,
1744147813.6655,-5.35251569989116E-14,-6.72701889662147E-14,,,,,
1744147813.67562,-5.25264261699705E-14,-6.98862690076123E-14,,,,,
1744147813.68592,-5.16338438294659E-14,-7.27820295161635E-14,,,,,
